time[ms],voltage[mV]
8.958258818220991770e+01,1.326992321014404297e+01
8.978437040877241770e+01,1.305089378356933594e+01
8.998615263533491770e+01,1.283186531066894531e+01
9.018793486189741770e+01,1.261283588409423828e+01
9.038990782332319895e+01,1.239395713806152344e+01
9.059248350691694895e+01,1.217557048797607422e+01
9.079506681990523020e+01,1.195718383789062500e+01
9.099764250349898020e+01,1.173879718780517578e+01
9.120022581648726145e+01,1.152041053771972656e+01
9.140280912947554270e+01,1.130202388763427734e+01
9.160538481306929270e+01,1.108363723754882812e+01
9.180796812605757395e+01,1.086524963378906250e+01
9.201123808455366770e+01,1.064742755889892578e+01
9.221452330183882395e+01,1.042961311340332031e+01
9.241780851912398020e+01,1.021179866790771484e+01
9.262109373640913645e+01,9.993984222412109375e+00
9.282437895369429270e+01,9.776169776916503906e+00
9.302766417097944895e+01,9.558356285095214844e+00
9.323094938826460520e+01,9.340541839599609375e+00
9.343468473982710520e+01,9.123092651367187500e+00
9.363859556746382395e+01,8.905788421630859375e+00
9.384250639510054270e+01,8.688484191894531250e+00
9.404641722273726145e+01,8.471179962158203125e+00
9.425032805037398020e+01,8.253875732421875000e+00
9.445423887801069895e+01,8.036571502685546875e+00
9.465814207625288645e+01,7.819267749786376953e+00
9.486228941512007395e+01,7.602153301239013672e+00
9.506674192976851145e+01,7.385294437408447266e+00
9.527119444441694895e+01,7.168435573577880859e+00
9.547564695906538645e+01,6.951576709747314453e+00
9.568009947371382395e+01,6.734717845916748047e+00
9.588455198836226145e+01,6.517858982086181641e+00
9.608900450301069895e+01,6.301000118255615234e+00
9.629351042342085520e+01,6.084187507629394531e+00
9.649842833113569895e+01,5.867707729339599609e+00
9.670333860945601145e+01,5.651227951049804688e+00
9.690824888777632395e+01,5.434747695922851562e+00
9.711316679549116770e+01,5.218267917633056641e+00
9.731807707381148020e+01,5.001788139343261719e+00
9.752298735213179270e+01,4.785308361053466797e+00
9.772790525984663645e+01,4.568828105926513672e+00
9.793312071394819895e+01,4.352602005004882812e+00
9.813842009138960520e+01,4.136437892913818359e+00
9.834371183943648020e+01,3.920273542404174805e+00
9.854900358748335520e+01,3.704109430313110352e+00
9.875430296492476145e+01,3.487945318222045898e+00
9.895959471297163645e+01,3.271780967712402344e+00
9.916488646101851145e+01,3.055616855621337891e+00
9.937033079695601145e+01,2.839572191238403320e+00
9.957592772078413645e+01,2.623659610748291016e+00
9.978152464461226145e+01,2.407747030258178711e+00
9.998712156844038645e+01,2.191834449768066406e+00
1.001927184922685115e+02,1.975921988487243652e+00
1.003983154160966365e+02,1.760009527206420898e+00
1.006039199693192927e+02,1.544096946716308594e+00
